title,placeUrl,website,status,subtitle,rating,reviewCount,category,address,phoneNumber,searchQuery,email,facebookUrl,instagramUrl,twitterUrl,linkedInUrl
AFRIBOBO Cameroun : Nº1 des annonces gratuites en ligne au Cameroun,https://www.google.com/maps/place/AFRIBOBO+Cameroun+:+N%C2%BA1+des+annonces+gratuites+en+ligne+au+Cameroun/data=!4m7!3m6!1s0x10610de231655abd:0x9e663a1dc9896c5f!8m2!3d4.0914109!4d9.7467262!16s%2Fg%2F11bwqmyb00!19sChIJvVplMeINYRARX2yJyR06Zp4,https://www.afribobo.com/,Data found,,4.4,96,E-commerce service,"Douala, Cameroon",+237 6 91 07 91 07,"https://www.google.com/maps/search/enterprises+in+bounamousadi+douala,+cameroon/@4.0919173,9.7315477,15z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI0MTAwMi4xIKXMDSoASAFQAw%3D%3D",,"https://www.facebook.com/sharer.php?u=https%3A%2F%2Fwww.afribobo.com%2F&t=Cameroun%20-%20Annonces%20Occasion,%20Auto,%20Immobilier,%20Emploi%20|%20Afribobo%20CM",,https://x.com/share?url=https%3A%2F%2Fwww.afribobo.com%2F&text=Cameroun+-+Annonces+Occasion%2C+Auto%2C+Immobilier%2C+Emploi+%7C+Afribobo+CM,
Terrific Coffee,https://www.google.com/maps/place/Terrific+Coffee/data=!4m7!3m6!1s0x10610df8f5791f8f:0x7e83270f009ccf59!8m2!3d4.0841943!4d9.724913!16s%2Fg%2F11f54lbdys!19sChIJjx959fgNYRARWc-cAA8ng34,,No website found,,4.0,619,Coffee shop,"Bonamoussadi, Sable, Douala, Cameroon",+237 6 79 70 10 13,"https://www.google.com/maps/search/enterprises+in+bounamousadi+douala,+cameroon/@4.0919173,9.7315477,15z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI0MTAwMi4xIKXMDSoASAFQAw%3D%3D",,,,,
Santa Lucia Bonamoussadi,https://www.google.com/maps/place/Santa+Lucia+Bonamoussadi/data=!4m7!3m6!1s0x10610fa6343b04b9:0x1d7a040202b3782!8m2!3d4.092226!4d9.7464093!16s%2Fg%2F11ghfp9yz2!19sChIJuQQ7NKYPYRARgjcrIECg1wE,http://complexesantalucia.com/,Data found,,3.9,3603,Supermarket,"Douala, Cameroon",+237 6 95 21 11 41,"https://www.google.com/maps/search/enterprises+in+bounamousadi+douala,+cameroon/@4.0919173,9.7315477,15z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI0MTAwMi4xIKXMDSoASAFQAw%3D%3D",info@complexesantalucia.com,https://www.facebook.com/ComplexeSantaLuciaCameroun,https://www.instagram.com/complexe_santa_lucia/,https://x.com/SantaLucia237,https://www.linkedin.com/company/complexe-santa-lucia
Super U Bonamoussadi,https://www.google.com/maps/place/Super+U+Bonamoussadi/data=!4m7!3m6!1s0x10610de4af704ba9:0x598a66a7d2714e85!8m2!3d4.0865763!4d9.7354126!16s%2Fg%2F11gblf33t4!19sChIJqUtwr-QNYRARhU5x0qdmilk,,No website found,,3.7,1820,Supermarket,"Douala, Cameroon",+237 6 54 90 01 88,"https://www.google.com/maps/search/enterprises+in+bounamousadi+douala,+cameroon/@4.0919173,9.7315477,15z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI0MTAwMi4xIKXMDSoASAFQAw%3D%3D",,,,,
"Ime - School, Douala","https://www.google.com/maps/place/Ime+-+School,+Douala/data=!4m7!3m6!1s0x10610de222c2478d:0xf8a70f810cbefa56!8m2!3d4.0906216!4d9.7395246!16s%2Fg%2F11dx8ys0v2!19sChIJjUfCIuINYRARVvq-DIEPp_g",http://www.ime-school.com/,Data found,,4.1,37,Business school,"15685, Douala, Cameroon",+237 6 79 78 10 93,"https://www.google.com/maps/search/enterprises+in+bounamousadi+douala,+cameroon/@4.0919173,9.7315477,15z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI0MTAwMi4xIKXMDSoASAFQAw%3D%3D",infos@ime-school.com,https://www.facebook.com/ime.school,https://instagram.com/ime_school,,https://www.linkedin.com/company/ime-school2017/
Elite Company,"https://www.google.com/maps/place/Elite+Company/@4.0869205,9.7376888,17z/data=!3m1!4b1!4m6!3m5!1s0x10610d9c57ed1f7b:0x8d85caf96391d84d!8m2!3d4.0869205!4d9.7376888!16s%2Fg%2F11pdxww844",,No website found,,5.0,2,Car rental agency,"3PPQ+Q38, 4730, Douala, Cameroon",+237 6 96 48 89 37,"https://www.google.com/maps/search/enterprises+in+bounamousadi+douala,+cameroon/@4.0919173,9.7315477,15z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI0MTAwMi4xIKXMDSoASAFQAw%3D%3D",,,,,
Supermarché Kado Bonamoussadi,https://www.google.com/maps/place/Supermarch%C3%A9+Kado+Bonamoussadi/data=!4m7!3m6!1s0x10610e09da0a978b:0x93c6f28b46b6444e!8m2!3d4.0921561!4d9.7379023!16s%2Fg%2F11dz7knpk5!19sChIJi5cK2gkOYRARTkS2RovyxpM,,No website found,,3.6,863,Supermarket,"3PRQ+V56, Douala, Cameroon",+237 6 79 50 70 37,"https://www.google.com/maps/search/enterprises+in+bounamousadi+douala,+cameroon/@4.0919173,9.7315477,15z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI0MTAwMi4xIKXMDSoASAFQAw%3D%3D",,,,,
Njiadie Enterprise,https://www.google.com/maps/place/Njiadie+Enterprise/data=!4m7!3m6!1s0x10610d7213d79463:0xa8ed7e54e3927cf!8m2!3d4.0866687!4d9.7438881!16s%2Fg%2F11svrnh5k9!19sChIJY5TXE3INYRARzyc5TuXXjgo,,No website found,,5.0,1,Marketing agency,"Makepe Bloc L Carrefour Waka Waka, Douala, Cameroon",+237 6 93 91 27 01,"https://www.google.com/maps/search/enterprises+in+bounamousadi+douala,+cameroon/@4.0919173,9.7315477,15z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI0MTAwMi4xIKXMDSoASAFQAw%3D%3D",,,,,
Cameroon car rentals,"https://www.google.com/maps/place/Cameroon+car+rentals/@4.0869497,9.7433847,17z/data=!3m1!4b1!4m6!3m5!1s0x10610d0f4af50743:0x35ff5347810b3a9c!8m2!3d4.0869497!4d9.7433847!16s%2Fg%2F11mvmxmncl",,No website found,,5.0,2,Car rental agency,"3PPV+Q9C carrefour etoo, Douala, Cameroon",+237 2 33 47 70 00,"https://www.google.com/maps/search/enterprises+in+bounamousadi+douala,+cameroon/@4.0919173,9.7315477,15z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI0MTAwMi4xIKXMDSoASAFQAw%3D%3D",,,,,
KS ENTERPRISE SARL,"https://www.google.com/maps/place/KS+ENTERPRISE+SARL/@4.0891849,9.7428407,17z/data=!3m1!4b1!4m6!3m5!1s0x10610d169bbdc353:0xa0c43daf6ce9da67!8m2!3d4.0891849!4d9.7428407!16s%2Fg%2F11w927jmwn",,No website found,,,,Gym,"Douala, Cameroon",+237 6 97 79 01 38,"https://www.google.com/maps/search/enterprises+in+bounamousadi+douala,+cameroon/@4.0919173,9.7315477,15z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI0MTAwMi4xIKXMDSoASAFQAw%3D%3D",,,,,
